nform,cuest_id,time,parcela,cultivo,nombre_parcela,provparcela_cod,munparcela_cod,superf_parcela_has,superficie_parcela,descanso_sino,temporary_crop,month_siembra,year_siembra,mixto_sino,since_siembra,month_harvest,year_harvest,age,female_head,transporte,tiempo_cant,tiempo_um
179,H1652,2,12,AGUACATE,RAPADURA,Azua,Padre Las Casas,0.94319987,15,No,Permanente,Mayo,2004,S√≠,2005,,,71,0,Transporte p˙blico,15,Minutos
179,H1652,2,12,CAF√â,RAPADURA,Azua,Padre Las Casas,0.94319987,15,No,Permanente,Abril,1989,S√≠,1989,,,71,0,Transporte p˙blico,15,Minutos
88,H1659,2,11,LIMON,LOS JOBERO,Azua,Padre Las Casas,3.1439996,50,No,Permanente,Abril,2019,No,2019,,,60,0,Transporte p˙blico,15,Minutos
88,H1659,2,11,CAF√â,LOS JOBERO,Azua,Padre Las Casas,3.1439996,50,No,Permanente,Abril,2010,No,2010,,,60,0,Transporte p˙blico,15,Minutos
89,H1668,2,11,AGUACATE,LA MONTE ALTA,Azua,Padre Las Casas,2.5151997,40,No,Permanente,Abril,1997,No,1997,,,49,0,Motor,5,Minutos
89,H1668,2,11,CAF√â,LA MONTE ALTA,Azua,Padre Las Casas,2.5151997,40,No,Permanente,Abril,2017,No,1987,,,49,0,Motor,5,Minutos
89,H1668,2,12,CAF√â,CERRO DE VENTURA,Azua,Padre Las Casas,2.5151997,40,No,Permanente,Abril,2010,No,1987,,,49,0,Animal,30,Minutos
89,H1668,2,12,AGUACATE,CERRO DE VENTURA,Azua,Padre Las Casas,2.5151997,40,No,Permanente,Marzo,2006,No,1997,,,49,0,Animal,30,Minutos
183,H1672,2,11,PASTO,JORQUERA,Azua,Padre Las Casas,5.0303993,80,No,Permanente,Junio,1987,No,1987,,,63,0,Motor,10,Minutos
183,H1672,2,11,MAIZ GRANO/MAZORCA,JORQUERA,Azua,Padre Las Casas,5.0303993,80,No,Temporero,Abril,2019,S√≠,2019,Julio,2019,63,0,Motor,10,Minutos
