cuest_id_b,cuest_id,time,parcela,cultivo,temporary_crop,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
2654,H1057,0. Baseline,11,pasto,0,45,Male,8.1743994,19.552859,-71.392402,santiago rodriguez,san ignacio de sabaneta,enero,2010,2010,,,1508.125854492188,0. Pure Control,0
2655,H1113,0. Baseline,11,pasto,0,34,Male,5.0303993,19.461066,-71.28863699999999,santiago rodriguez,san ignacio de sabaneta,no recuerda,2008,2008,,,0,0. Pure Control,0
2686,H1047,0. Baseline,11,pasto,0,49,Male,5.0303993,19.461993,-71.332246,santiago rodriguez,san ignacio de sabaneta,septiembre,2008,2008,,,13799.3515625,0. Pure Control,0
2688,H1038,0. Baseline,11,maiz grano/mazorca,1,58,Male,6.2879992,19.458362,-71.31385299999999,santiago rodriguez,san ignacio de sabaneta,marzo,2011,2002,junio,2011,3883.423950195313,0. Pure Control,0
2688,H1038,0. Baseline,11,yuca,1,58,Male,6.2879992,19.458362,-71.31385299999999,santiago rodriguez,san ignacio de sabaneta,junio,2011,2002,marzo,2012,3883.423950195313,0. Pure Control,0
2688,H1038,0. Baseline,12,pasto,0,58,Male,8.8031988,19.458414,-71.313767,santiago rodriguez,san ignacio de sabaneta,mayo,2008,2008,,,3883.423950195313,0. Pure Control,0
2688,H1038,0. Baseline,11,plátano,0,58,Male,6.2879992,19.458362,-71.31385299999999,santiago rodriguez,san ignacio de sabaneta,marzo,2011,2010,,,3883.423950195313,0. Pure Control,0
2695,H1103,0. Baseline,11,pasto,0,40,Male,88.03199,19.438765,-71.416561,santiago rodriguez,san ignacio de sabaneta,marzo,2008,2008,,,4712.89306640625,0. Pure Control,0
2695,H1103,0. Baseline,11,melon,1,40,Male,88.03199,19.438765,-71.416561,santiago rodriguez,san ignacio de sabaneta,septiembre,2011,2007,diciembre,2011,4712.89306640625,0. Pure Control,0
2702,H0971,0. Baseline,11,guandul,1,55,Female,1.5719998,19.5026,-71.465767,dajabón,partido,marzo,2011,2005,agosto,2011,5609.599571228027,0. Pure Control,0
2702,H0971,0. Baseline,11,mani,1,55,Female,1.5719998,19.5026,-71.465767,dajabón,partido,marzo,2011,2000,junio,2011,5609.599571228027,0. Pure Control,0
2702,H0971,0. Baseline,11,maiz grano/mazorca,1,55,Female,1.5719998,19.5026,-71.465767,dajabón,partido,marzo,2011,2000,julio,2011,5609.599571228027,0. Pure Control,0
2702,H0971,0. Baseline,12,yuca,1,55,Female,1.1318399,19.49272,-71.470428,dajabón,partido,marzo,2011,2005,marzo,2012,5609.599571228027,0. Pure Control,0
2702,H0971,0. Baseline,12,guandul,1,55,Female,1.1318399,19.49272,-71.470428,dajabón,partido,marzo,2011,2000,agosto,2011,5609.599571228027,0. Pure Control,0
2702,H0971,0. Baseline,11,pasto,0,55,Female,1.5719998,19.5026,-71.465767,dajabón,partido,julio,2011,2011,,,5609.599571228027,0. Pure Control,0
2703,H0993,0. Baseline,11,pasto,0,72,Male,7.1054392,19.53809,-71.517212,dajabón,partido,no recuerda,1992,1992,,,0,0. Pure Control,0
